Date,Open,High,Low,Close
5/9/2018,9177.81,9370,8960,9300.08
5/8/2018,9353,9463.13,9050,9177.81
5/7/2018,9600,9619.55,9162.85,9353
5/6/2018,9800,9880,9390,9600
5/5/2018,9685,9948.12,9660.28,9800
5/4/2018,9725.74,9743.87,9465,9685
5/3/2018,9190.48,9800,9131,9725.74
5/2/2018,9072.29,9250.04,8990,9190.48
5/1/2018,9243.83,9245.37,8831.21,9072.29
4/30/2018,9389.01,9446.98,9119,9243.83
4/29/2018,9329.99,9512.5,9179.99,9389.01
4/28/2018,8922.55,9440.01,8863.42,9329.99
4/27/2018,9272.11,9369,8910,8922.55
4/26/2018,8865.98,9318,8660,9272.11
4/25/2018,9648,9763.49,8602.43,8865.98
4/24/2018,8931.3,9728.56,8930,9648
4/23/2018,8795.01,8991,8775.1,8931.3
4/22/2018,8915.42,9015,8754.01,8795.01
4/21/2018,8866.27,9038.87,8610.7,8915.42
4/20/2018,8274,8932.56,8216.21,8866.27
4/19/2018,8152.05,8300,8105,8274
4/18/2018,7892.1,8243.99,7879.8,8152.05
4/17/2018,8048.93,8162.5,7822,7892.1
4/16/2018,8355.25,8398.98,7905.99,8048.93
4/15/2018,8003.11,8392.56,8003.11,8355.25
4/14/2018,7893.19,8150,7830,8003.11
4/13/2018,7916,8220,7760,7893.19
4/12/2018,6942.99,8050,6767.77,7916
4/11/2018,6824.99,6974,6806.01,6942.99
4/10/2018,6771.13,6893.29,6661.19,6824.99
4/9/2018,7020.01,7169.53,6617,6771.13
4/8/2018,6894.01,7099.99,6891.83,7020.01
4/7/2018,6619.01,7059,6605.08,6894.01
4/6/2018,6785.85,6847,6518.88,6619.01
4/5/2018,6791.68,6923.1,6574,6785.85
4/4/2018,7424.9,7424.91,6708.46,6791.68
4/3/2018,7045.01,7520,7017,7424.9
4/2/2018,6816.01,7100,6777.28,7045.01
4/1/2018,6928.5,7044.46,6450,6816.01
3/31/2018,6848.01,7200,6780.19,6928.5
3/30/2018,7079.99,7275.35,6600,6848.01
3/29/2018,7942.72,7957,6905,7079.99
3/28/2018,7793.61,8088,7727.76,7942.72
3/27/2018,8145,8219.99,7757,7793.61
3/26/2018,8453,8498,7858.1,8145
3/25/2018,8531.34,8670,8359.99,8453
3/24/2018,8927.1,8999,8508,8531.34
3/23/2018,8715.09,8927.81,8280.04,8927.1
3/22/2018,8891.81,9073.93,8467.27,8715.09
3/21/2018,8900,9174,8745,8891.81
3/20/2018,8589.01,9046.26,8316.99,8900
3/19/2018,8192,8750.61,8110,8589.01
3/18/2018,7857.6,8302.73,7310,8192
3/17/2018,8275,8349.82,7751,7857.6
3/16/2018,8259.99,8600,7911,8275
3/15/2018,8207.02,8400,7666,8259.99
3/14/2018,9145.41,9340,7931,8207.02
3/13/2018,9120,9472.88,8855,9145.41
3/12/2018,9533.88,9890,8780.49,9120
3/11/2018,8795.44,9760,8516,9533.88
3/10/2018,9255,9514,8727.68,8795.44
3/9/2018,9304.89,9410,8370,9255
3/8/2018,9925,10098,9050,9304.89
3/7/2018,10700,10894,9400,9925
3/6/2018,11377.54,11395.63,10565.85,10700
3/5/2018,11469.9,11645.74,11340,11377.54
3/4/2018,11432.5,11487,11045.03,11469.9
3/3/2018,11000,11494.57,11000,11432.5
3/2/2018,10895.92,11149,10765,11000
3/1/2018,10307.27,11075,10213.99,10895.92
2/28/2018,10566.57,11044,10263,10307.27
2/27/2018,10300,10845.07,10133.33,10566.57
2/26/2018,9597.99,10447.74,9404,10300
2/25/2018,9688.62,9850,9324.75,9597.99
2/24/2018,10144.99,10494.14,9372.72,9688.62
2/23/2018,9830,10390.77,9576.43,10144.99
2/22/2018,10454.27,10900,9715.27,9830
2/21/2018,11235.57,11278.81,10250,10454.27
2/20/2018,11140,11775,11000,11235.57
2/19/2018,10380.04,11274.11,10297.39,11140
2/18/2018,11121.5,11299.1,10159,10380.04
2/17/2018,10167.49,11149,10057,11121.5
2/16/2018,10031.23,10307.68,9729.58,10167.49
2/15/2018,9472.98,10249.81,9342.46,10031.23
2/14/2018,8520.01,9482.5,8520,9472.98
2/13/2018,8872.28,8925,8393.1,8520.01
2/12/2018,8072.99,8950,8072.99,8872.28
2/11/2018,8547.49,8547.49,7857.78,8072.99
2/10/2018,8671.01,9090,8155.01,8547.49
2/9/2018,8218.1,8700,7750,8671.01
2/8/2018,7575.75,8625,7550,8218.1
2/7/2018,7688.46,8649.88,7212.82,7575.75
2/6/2018,6905.19,7948.89,5873,7688.46
2/5/2018,8167.9,8349.16,6426.94,6905.19
2/4/2018,9240,9350,7859,8167.9
2/3/2018,8787.52,9499,8115.48,9240
2/2/2018,9010.61,9090,7540,8787.52
2/1/2018,10099.99,10166.25,8400,9010.61
1/31/2018,9995,10299.95,9601.02,10099.99
1/30/2018,11123.01,11150,9714.84,9995
1/29/2018,11536,11570,10840,11123.01
1/28/2018,11319,11695,11234.99,11536
1/27/2018,11086.89,11494.08,10850,11319
1/26/2018,11118,11570,10305,11086.89
1/25/2018,11356.79,11690,10851,11118
1/24/2018,10824.94,11450,10457,11356.79
1/23/2018,10766.7,11370,9945,10824.94
1/22/2018,11518.16,11849,10025,10766.7
1/21/2018,12762.8,12762.8,11118,11518.16
1/20/2018,11498.99,12985.55,11498.99,12762.8
1/19/2018,11305.53,11973.99,11050,11498.99
1/18/2018,11200.01,12123.1,10687.21,11305.53
1/17/2018,11570.01,12358.89,9010,11200.01
1/16/2018,13590,13643.66,9928.62,11570.01
1/15/2018,13656.23,14253,13416,13590
1/14/2018,14187.95,14332.85,13110,13656.23
1/13/2018,13820,14500,13792.25,14187.95
1/12/2018,13308.06,14080.83,12900,13820
1/11/2018,14875.18,14970,12800.01,13308.06
1/10/2018,14480.99,14875.18,13550.01,14875.18
1/9/2018,14993.74,15384,14230,14480.99
1/8/2018,16174.22,16275,14000,14993.74
1/7/2018,17099,17115.01,15755.01,16174.22
1/6/2018,16960.01,17174,16251.01,17099
1/5/2018,15144.99,17178,14824.05,16960.01
1/4/2018,15098.14,15400,14230,15144.99
1/3/2018,14781.51,15400,14628,15098.14
1/2/2018,13480.01,15275,13005,14781.51
1/1/2018,13863.13,13889,12952.5,13480.01
12/31/2017,12839.99,14280.26,12633.8,13863.13
12/30/2017,14565.05,14639.79,12500,12839.99
12/29/2017,14450.01,15105.34,14041.81,14565.05
12/28/2017,15367.08,15489,13500,14450.01
12/27/2017,15790.88,16490,14524.37,15367.08
12/26/2017,14171.98,16148,14171.98,15790.88
12/25/2017,14221.94,14774,13500,14171.98
12/24/2017,15065.51,15109.27,13210,14221.94
12/23/2017,14210.57,16261,13750,15065.51
12/22/2017,15758.8,15974.95,10400,14210.57
12/21/2017,16496.9,17364.57,15151,15758.8
12/20/2017,17838.73,17890,14301,16496.9
12/19/2017,19039,19099,16800,17838.73
12/18/2017,19378.99,19385,18200,19039
12/17/2017,19650,19891.99,19010,19378.99
12/16/2017,17738.67,19797,17630,19650
12/15/2017,16749.79,17899,16745,17738.67
12/14/2017,16689.61,17199.6,16256,16749.79
12/13/2017,17730.12,17900,15700,16689.61
12/12/2017,16885.75,18149.99,16375,17730.12
12/11/2017,15290.01,17493,15200,16885.75
12/10/2017,15309.98,16300,13501,15290.01
12/9/2017,16367.03,16499,13550,15309.98
12/8/2017,17390.01,17777.69,13788.99,16367.03
12/7/2017,14090,19650.65,13500,17390.01
12/6/2017,11718.35,14419.4,11717.5,14090
12/5/2017,11643.98,11875,11532,11718.35
12/4/2017,11290,11650,10950,11643.98
12/3/2017,10930.23,11891,10601,11290
12/2/2017,10869.84,11100,10701,10930.23
12/1/2017,9903,10937,9517,10869.84
11/30/2017,9935.98,10850,9135.6,9903
11/29/2017,9949,11485,8650,9935.98
11/28/2017,9768.71,9989.95,9705.99,9949
11/27/2017,9401.11,9795,9401,9768.71
11/26/2017,8795.5,9596,8795.5,9401.11
11/25/2017,8215.01,8795.5,8203.98,8795.5
11/24/2017,8031.16,8324,7900,8215.01
11/23/2017,8250,8274.98,8031.16,8031.16
11/22/2017,8109,8298.98,8103.13,8250
11/21/2017,8256.01,8375,7802.99,8109
11/20/2017,8031.82,8293.25,7969,8256.01
11/19/2017,7777.01,8098.62,7700,8031.82
11/18/2017,7714.71,7847.98,7502,7777.01
11/17/2017,7838.53,7988.5,7536,7714.71
11/16/2017,7294,7985.37,7130,7838.53
11/15/2017,6605,7349,6605,7294
11/14/2017,6535.87,6748,6465.41,6605
11/13/2017,5886.35,6841.45,5850,6535.87
11/12/2017,6346.7,6486,5511.11,5886.35
11/11/2017,6577.63,6894.99,6201.01,6346.7
11/10/2017,7156,7350,6426,6577.63
11/9/2017,7467.96,7470.01,7079,7156
11/8/2017,7126.63,7898,7031.66,7467.96
